team,team_id,season,jersey,name,position,height,year,hometown,high_school,previous_school,url
Air Force,721,2025-26,0,Jordyn DeVaughn,G,"5'6""",Junior,"Little Elm, Texas",Lone Star H.S.,,https://goairforcefalcons.com/sports/womens-basketball/roster/jordyn-devaughn/23002
Air Force,721,2025-26,1,Alexis Cortez,G,"5'11""",Junior,"Allen, Texas",Allen H.S.,,https://goairforcefalcons.com/sports/womens-basketball/roster/alexis-cortez/23001
Air Force,721,2025-26,2,Milahnie Perry,G,"5'7""",Senior,"Tampa, Fla.",Seffner Christian Academy,,https://goairforcefalcons.com/sports/womens-basketball/roster/milahnie-perry/23008
Air Force,721,2025-26,4,AJ Mannering,G,"5'8""",Freshman,"Peyton, Colo.",Peyton HS,USAFA Prep,https://goairforcefalcons.com/sports/womens-basketball/roster/aj-mannering/23012
Air Force,721,2025-26,5,Sydney Roundtree,F,,Sophomore,"Jacksonville, Fla.",Bishop Kenny H.S.,,https://goairforcefalcons.com/sports/womens-basketball/roster/sydney-roundtree/23009
Air Force,721,2025-26,9,Maddy Jensen,G,"5'7""",Freshman,"Brookfield, Wisc.",Brookfield Central H.S.,,https://goairforcefalcons.com/sports/womens-basketball/roster/maddy-jensen/23014
Air Force,721,2025-26,10,Jayda McNabb,G,"5'10""",Junior,"Rapid City, S.D.",Stevens H.S.,USAFA Prep,https://goairforcefalcons.com/sports/womens-basketball/roster/jayda-mcnabb/23006
Air Force,721,2025-26,11,Eva Love,G,"5'9""",Freshman,"Albuquerque, N.M.",La Cueva HS,USAFA Prep,https://goairforcefalcons.com/sports/womens-basketball/roster/eva-love/23011
Air Force,721,2025-26,12,Tanah Gorman,F,,Sophomore,"Huntingtown, Md.",Bishop Ireton H.S.,,https://goairforcefalcons.com/sports/womens-basketball/roster/tanah-gorman/23003
Air Force,721,2025-26,13,Keelie O'Hollaren,G,"5'10""",Junior,"Lake Oswego, Ore.",Lakeridge H.S.,,https://goairforcefalcons.com/sports/womens-basketball/roster/keelie-ohollaren/23007
Air Force,721,2025-26,14,Bhret Clay,G,"5'10""",Freshman,"Hobbs, N.M.",Hobbs H.S.,,https://goairforcefalcons.com/sports/womens-basketball/roster/bhret-clay/23013
Air Force,721,2025-26,21,Kori Rainwater,F,"6'1""",Freshman,"Tahlequah, Okla.",Tahlequah H.S.,USAFA Prep,https://goairforcefalcons.com/sports/womens-basketball/roster/kori-rainwater/23010
