team_id,team_name
316,Jacksonville
361,Long Island
1050,Defiance
1130,Huntingdon
119,Carnegie Mellon
12884,Centenary (NJ)
1318,Post
64,Blackburn
1467,Goucher
182,Denison
19117,Salem (WV)
192,Dubuque
224,Ferris St.
227,Fitchburg St.
23725,Medaille
25719,Penn St.-Altoona
2798,Albertus Magnus
286,Hope
30002,Trevecca Nazarene
442,Montclair St.
443,Moravian
30175,Holy Names
30225,SUNY Delhi
325,Juniata
365,LSU
449,Mount Holyoke
455,Muskingum
486,MCLA
517,Ohio Northern
525,Olivet
532,Elms
552,SUNY Potsdam
589,Rutgers-Newark
679,Stevens
641,Simpson
644,Smith
673,Springfield
684,Suffolk
699,Texas Southern
746,Virginia
760,Wellesley
785,Willamette
793,Wis.-Eau Claire
798,Wis.-Oshkosh
806,Wittenberg
809,Worcester St.
8875,Chowan
8981,Endicott
1332,Dominican (IL)
8956,Dominican (NY)
1460,Wilmington (DE)
161,Concordia-Moorhead
170,Curry
814,Yeshiva
987,Bluffton
1163,La Roche
8486,Lasell
8687,Saint Joseph (CT)
76,Bridgewater St.
28746,Alverno
238,Framingham St.
319,New Jersey City
30189,Penn St. Brandywine
